Eda,Name,Value,Manufacturer,Mpn
DipTrace,/CAP_0402.*/,1uF 25V 0402 X5R 10%,Samsung Electro-Mechanics,CL05A105KA5NQNC
DipTrace,/CAP_0805.*/,22uF 25V X5R 20%,Samsung Electro-Mechanics,CL21A226MAQNNNE
DipTrace,/CAP_0402.*/,100nF 16V 0402 X7R 10%,Samsung Electro-Mechanics,CL05B104KO5NNNC
DipTrace,/CAP_0402.*/,4.7uF 10V 0402 X5R 10%,Murata Electronics,GRM155R61A475KEAAD
DipTrace,/CAP_0603.*/,10uF 25V 0603 X5R 10%,Samsung Electro-Mechanics,CL10A106MA8NRNC
DipTrace,/CAP_0402.*/,200pF 50V 0402 X5R 10%,Murata Electronics,GRM155R71H221KA01D
DipTrace,/CAP_0402.*/,2.2uF 6.3V 0402 X5R 10%,Samsung Electro-Mechanics,CL05A225KP5NSNC
DipTrace,/CAP_0603.*/,4.7uF 16V 0603 X5R 10%,Samsung Electro-Mechanics,CL10A475KO8NNNC
DipTrace,8132H-50.000ML33DTL,/.*/,HCI,8132H-50.000ML33DTL
DipTrace,W25Q16JVUXIQ,,WINBOND,W25Q16JVUXIQ
DipTrace,STM32H725IxK,STM32H725IGK6,ST,STM32H725IGK6
DipTrace,LED_0603,GREEN,Foshan NationStar Optoelectronics,NCD0603G1
DipTrace,LED_0603,BLUE,Foshan NationStar Optoelectronics,NCD0603B1
DipTrace,LED_0603,ORANGE,Foshan NationStar Optoelectronics,NCD0603O1
DipTrace,LED_0603,RED,Foshan NationStar Optoelectronics,NCD0603R5
DipTrace,LED_0603,YELLOW,Foshan NationStar Optoelectronics,NCD0603Y1
DipTrace,LED_0603,WHITE,Foshan NationStar Optoelectronics,NCD0603W1
DipTrace,BAV21W,,MDD(Microdiode Semiconductor),BAV21W
DipTrace,10164228-1001A1RLF,,Amphenol,10164228-1001A1RLF
DipTrace,10164227-1004A1RLF,,Amphenol,10164227-1004A1RLF
DipTrace,X0408WVS-100A-LPV01,,XKB Connection,X0408WVS-100A-LPV01
DipTrace,X0408FVS-100F-LPV01,,XKB Connection,X0408FVS-100F-LPV01
DipTrace,GT-B0403MSV11-100B1101,,G-Switch,GT-B0403MSV11-100B1101
DipTrace,GT-B0403FSV39-100B1101,,G-Switch,GT-B0403FSV39-100B1101
DipTrace,TYPE-C 16PLT-H10.0,,SHOU HAN,TYPE-C 16PLT-H10.0
DipTrace,LCK-TF-027H37508-WLG,,LCKELEC,LCK-TF-027H37508-WLG
DipTrace,F343-1211A0CMUB1,,Yxcon,F343-1211A0CMUB1
DipTrace,FTS-102-01-L-DV,,HCTL,PZ127-2-02-S
DipTrace,FTSH-105-01-L-DV-K-P-TR,,Samtec,FTSH-105-01-L-DV-K-P-TR
DipTrace,/IND_0603.*/,2.2uH 20% 1.8A 0.237ohm,Taiyo Yuden,MCHK1608T2R2MKN
DipTrace,DFE252012F-1R0M,/1uH.*/,muRata,DFE252012F-1R0M=P2
DipTrace,/RES_0402.*/,10K 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE
DipTrace,/RES_0402.*/,33R 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF330JTCE
DipTrace,/RES_0402.*/,4K7 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE
DipTrace,/RES_0402.*/,5K1 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE
DipTrace,/RES_0402.*/,47R 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF470JTCE
DipTrace,/RES_0402.*/,0R 0402 50V,UNI-ROYAL(Uniroyal Elec),0402WGF0000TCE
DipTrace,/RES_0402.*/,330R 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF3300TCE
DipTrace,/RES_0402.*/,100K 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE
DipTrace,/RES_0402.*/,453K 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF4533TCE
DipTrace,/RES_0402.*/,100R 0402 1% 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1000TCE
DipTrace,YC164-FR-072KL,2K,YAGEO,YC164-FR-072KL
DipTrace,/RES_0603.*/,100R 0603 1% 75V,UNI-ROYAL(Uniroyal Elec),0603WAF1000T5E
DipTrace,/RES_0603.*/,1R 0603 1% 75V,UNI-ROYAL(Uniroyal Elec),0603WAF100KT5E
